Senator,Total Gains ($),Avg Gain (%),Investor Type,Number of Trades
Angus King,1.9,0.6466666666666666,Long-Term,3
Dan Sullivan,218.99,5.5375000000000005,Long-Term,24
Gary Peters,-3.54,0.22999999999999998,Long-Term,6
John Boozman,32.21,3.247,Long-Term,10
John Fetterman,34.089999999999996,11.766666666666667,Long-Term,3
Markwayne Mullin,-120.57000000000001,-0.45546875,Long-Term,128
Mitch McConnell,-46.53,-5.526470588235294,Short-Term,17
Richard Blumenthal,-19.009999999999998,-2.2,Long-Term,4
Ron Wyden,13.55,4.165,Long-Term,2
Sheldon Whitehouse,70.15,-0.0142857142857143,Long-Term,14
Shelley Moore Capito,296.49,2.1491304347826086,Long-Term,23
Susan M. Collins,-49.17,-5.678,Long-Term,5
Thomas R. Carper,73.96000000000001,1.3456140350877193,Long-Term,57
Tommy Tuberville,-746.19,-2.3253242320819116,Long-Term,293
