Senator,Ticker,Transaction Date,Received Date,Holding Days,Investor Type,Transaction Price,Received Price,Price Diff ($),Price Diff (%)
Thomas R. Carper,DELL,2024-01-02,2024-02-01,30,Long-Term,74.79,85.78,10.99,14.69
Tommy Tuberville,SOLV,2024-05-03,2024-06-13,41,Long-Term,64.65,54.13,-10.52,-16.27
Tommy Tuberville,DECK,2024-04-05,2024-05-14,39,Long-Term,146.65,147.08,0.43,0.29
Tommy Tuberville,LULU,2024-04-05,2024-05-14,39,Long-Term,356.87,352.35,-4.52,-1.27
John Fetterman,BX,2024-10-15,2024-11-12,28,Long-Term,156.32,180.66,24.34,15.57
Sheldon Whitehouse,KVUE,2023-09-20,2023-10-16,26,Long-Term,20.89,19.54,-1.35,-6.46
Markwayne Mullin,PANW,2023-10-03,2023-10-31,28,Long-Term,115.86,121.51,5.65,4.88
Markwayne Mullin,PANW,2023-09-13,2023-10-11,28,Long-Term,123.15,129.6,6.45,5.24
Markwayne Mullin,AXON,2024-01-04,2024-01-25,21,Long-Term,244.93,252.7,7.77,3.17
Markwayne Mullin,AXON,2024-01-04,2024-01-25,21,Long-Term,244.93,252.7,7.77,3.17
Tommy Tuberville,NDSN,2023-04-03,2023-05-11,38,Long-Term,220.31,216.24,-4.07,-1.85
Tommy Tuberville,NDSN,2023-04-03,2023-05-11,38,Long-Term,220.31,216.24,-4.07,-1.85
Tommy Tuberville,NDSN,2023-04-03,2023-05-10,37,Long-Term,220.31,216.4,-3.91,-1.77
Tommy Tuberville,BRO,2024-04-05,2024-05-14,39,Long-Term,85.15,88.45,3.3,3.88
Tommy Tuberville,NXPI,2023-10-17,2023-11-15,29,Long-Term,197.72,200.75,3.03,1.53
Tommy Tuberville,MPWR,2023-10-17,2023-11-15,29,Long-Term,476.56,547.6,71.04,14.91
Tommy Tuberville,TSLA,2023-10-17,2023-11-15,29,Long-Term,254.85,242.84,-12.01,-4.71
Sheldon Whitehouse,TSLA,2023-09-20,2023-10-16,26,Long-Term,262.59,253.92,-8.67,-3.3
Tommy Tuberville,TSLA,2023-04-03,2023-05-11,38,Long-Term,194.77,172.08,-22.69,-11.65
Tommy Tuberville,TSLA,2023-04-03,2023-05-11,38,Long-Term,194.77,172.08,-22.69,-11.65
Tommy Tuberville,TSLA,2023-04-03,2023-05-10,37,Long-Term,194.77,168.54,-26.23,-13.47
Sheldon Whitehouse,TSLA,2022-01-28,2022-03-15,46,Long-Term,282.12,267.3,-14.82,-5.25
Tommy Tuberville,PAYC,2022-10-06,2022-11-10,35,Long-Term,353.6,329.75,-23.85,-6.74
Tommy Tuberville,PAYC,2022-10-06,2022-11-09,34,Long-Term,353.6,299.51,-54.09,-15.3
Tommy Tuberville,ODFL,2024-04-05,2024-05-14,39,Long-Term,224.57,181.94,-42.63,-18.98
Markwayne Mullin,TMUS,2023-10-03,2023-11-01,29,Long-Term,136.43,145.05,8.62,6.32
Markwayne Mullin,TMUS,2023-09-13,2023-10-11,28,Long-Term,141.5,143.12,1.62,1.14
Tommy Tuberville,DOW,2022-01-12,2022-02-14,33,Long-Term,59.26,60.83,1.57,2.65
Tommy Tuberville,DOW,2022-01-12,2022-02-13,32,Long-Term,59.26,60.83,1.57,2.65
Tommy Tuberville,JKHY,2024-04-05,2024-05-14,39,Long-Term,170.03,165.69,-4.34,-2.55
Tommy Tuberville,FTNT,2023-10-17,2023-11-15,29,Long-Term,58.65,51.06,-7.59,-12.94
Tommy Tuberville,CDNS,2022-03-30,2022-04-08,9,Short-Term,163.31,158.24,-5.07,-3.1
Tommy Tuberville,CDNS,2022-03-30,2022-04-07,8,Short-Term,163.31,163.13,-0.18,-0.11
Markwayne Mullin,IQV,2024-08-20,2024-09-18,29,Long-Term,246.94,242.67,-4.27,-1.73
Thomas R. Carper,MGM,2023-01-04,2023-02-02,29,Long-Term,35.54,41.39,5.85,16.46
Thomas R. Carper,MGM,2023-01-04,2023-02-01,28,Long-Term,35.54,41.91,6.37,17.92
Tommy Tuberville,RMD,2023-10-17,2023-11-15,29,Long-Term,141.84,152.15,10.31,7.27
Thomas R. Carper,RMD,2023-08-29,2023-09-04,6,Short-Term,163.93,153.89,-10.04,-6.12
Tommy Tuberville,RMD,2022-03-30,2022-04-08,9,Short-Term,249.01,249.33,0.32,0.13
Tommy Tuberville,RMD,2022-03-30,2022-04-07,8,Short-Term,249.01,252.08,3.07,1.23
Dan Sullivan,ALGN,2023-01-10,2023-02-13,34,Long-Term,232.25,325.26,93.01,40.05
Markwayne Mullin,HLT,2023-10-03,2023-10-31,28,Long-Term,146.77,151.53,4.76,3.24
Markwayne Mullin,HLT,2023-09-13,2023-10-11,28,Long-Term,153.39,153.69,0.3,0.2
Tommy Tuberville,IT,2022-03-30,2022-04-08,9,Short-Term,301.55,299.68,-1.87,-0.62
Tommy Tuberville,IT,2022-03-30,2022-04-07,8,Short-Term,301.55,294.75,-6.8,-2.26
Markwayne Mullin,AMD,2024-01-02,2024-01-25,23,Long-Term,138.58,180.33,41.75,30.13
Markwayne Mullin,AMD,2023-10-03,2023-10-31,28,Long-Term,100.08,98.5,-1.58,-1.58
Markwayne Mullin,AMD,2023-09-13,2023-10-11,28,Long-Term,107.71,108.31,0.6,0.56
Tommy Tuberville,SNPS,2024-04-05,2024-05-14,39,Long-Term,575.45,559.63,-15.82,-2.75
Tommy Tuberville,IDXX,2023-04-03,2023-05-11,38,Long-Term,489.27,486.73,-2.54,-0.52
Tommy Tuberville,IDXX,2023-04-03,2023-05-11,38,Long-Term,489.27,486.73,-2.54,-0.52
Tommy Tuberville,IDXX,2023-04-03,2023-05-10,37,Long-Term,489.27,485.11,-4.16,-0.85
Thomas R. Carper,D,2024-03-28,2024-03-28,0,Short-Term,49.19,49.19,0.0,0.0
Thomas R. Carper,DLR,2023-01-11,2023-02-02,22,Long-Term,105.03,119.92,14.89,14.18
Thomas R. Carper,DLR,2023-01-11,2023-02-01,21,Long-Term,105.03,116.15,11.12,10.59
Thomas R. Carper,DLR,2022-01-18,2022-02-03,16,Long-Term,155.87,147.0,-8.87,-5.69
Thomas R. Carper,DLR,2022-01-18,2022-02-02,15,Long-Term,155.87,149.23,-6.64,-4.26
Tommy Tuberville,CFG,2023-06-12,2023-07-13,31,Long-Term,27.41,28.38,0.97,3.54
Tommy Tuberville,CFG,2023-05-08,2023-06-14,37,Long-Term,25.76,27.1,1.34,5.2
Tommy Tuberville,CFG,2022-03-30,2022-04-08,9,Short-Term,46.8,41.83,-4.97,-10.62
Tommy Tuberville,CFG,2022-03-30,2022-04-07,8,Short-Term,46.8,41.65,-5.15,-11.0
Tommy Tuberville,EXR,2022-10-06,2022-11-10,35,Long-Term,172.11,163.09,-9.02,-5.24
Tommy Tuberville,EXR,2022-10-06,2022-11-09,34,Long-Term,172.11,151.63,-20.48,-11.9
Dan Sullivan,CHD,2023-02-10,2023-03-16,34,Long-Term,82.89,85.96,3.07,3.7
Dan Sullivan,CHD,2023-02-21,2023-03-16,23,Long-Term,83.99,85.96,1.97,2.35
Tommy Tuberville,PYPL,2024-04-30,2024-05-14,14,Short-Term,67.92,64.58,-3.34,-4.92
Tommy Tuberville,PYPL,2023-05-10,2023-06-14,35,Long-Term,63.38,63.6,0.22,0.35
Tommy Tuberville,PYPL,2023-05-11,2023-06-14,34,Long-Term,64.18,63.6,-0.58,-0.9
Tommy Tuberville,PYPL,2022-12-05,2023-01-13,39,Long-Term,73.62,79.48,5.86,7.96
Tommy Tuberville,PYPL,2022-12-08,2023-01-13,36,Long-Term,74.22,79.48,5.26,7.09
Tommy Tuberville,PYPL,2022-12-05,2023-01-12,38,Long-Term,73.62,79.78,6.16,8.37
Tommy Tuberville,PYPL,2022-12-08,2023-01-12,35,Long-Term,74.22,79.78,5.56,7.49
Tommy Tuberville,PYPL,2022-11-07,2022-12-14,37,Long-Term,77.66,72.63,-5.03,-6.48
Tommy Tuberville,PYPL,2022-11-07,2022-12-13,36,Long-Term,77.66,73.7,-3.96,-5.1
Tommy Tuberville,PYPL,2022-06-29,2022-07-13,14,Short-Term,71.47,71.36,-0.11,-0.15
Tommy Tuberville,PYPL,2022-06-17,2022-07-13,26,Long-Term,72.9,71.36,-1.54,-2.11
Tommy Tuberville,PYPL,2022-06-16,2022-07-13,27,Long-Term,71.23,71.36,0.13,0.18
Tommy Tuberville,PYPL,2022-06-15,2022-07-13,28,Long-Term,75.83,71.36,-4.47,-5.89
Tommy Tuberville,PYPL,2022-06-17,2022-07-12,25,Long-Term,72.9,71.43,-1.47,-2.02
Tommy Tuberville,PYPL,2022-06-15,2022-07-12,27,Long-Term,75.83,71.43,-4.4,-5.8
Tommy Tuberville,PYPL,2022-06-16,2022-07-12,26,Long-Term,71.23,71.43,0.2,0.28
Tommy Tuberville,PYPL,2022-06-29,2022-07-12,13,Short-Term,71.47,71.43,-0.04,-0.06
Tommy Tuberville,PYPL,2022-05-20,2022-06-13,24,Long-Term,80.54,73.72,-6.82,-8.47
Tommy Tuberville,PYPL,2022-05-19,2022-06-13,25,Long-Term,81.28,73.72,-7.56,-9.3
Tommy Tuberville,PYPL,2022-05-20,2022-06-12,23,Long-Term,80.54,73.72,-6.82,-8.47
Tommy Tuberville,PYPL,2022-05-19,2022-06-12,24,Long-Term,81.28,73.72,-7.56,-9.3
Tommy Tuberville,PYPL,2022-04-28,2022-05-13,15,Long-Term,92.09,78.83,-13.26,-14.4
Tommy Tuberville,PYPL,2022-04-11,2022-05-13,32,Long-Term,109.81,78.83,-30.98,-28.21
Tommy Tuberville,PYPL,2022-04-11,2022-05-12,31,Long-Term,109.81,74.29,-35.52,-32.35
Tommy Tuberville,PYPL,2022-04-28,2022-05-12,14,Short-Term,92.09,74.29,-17.8,-19.33
Tommy Tuberville,PYPL,2022-02-07,2022-03-11,32,Long-Term,121.41,96.57,-24.84,-20.46
Tommy Tuberville,PYPL,2022-02-09,2022-03-11,30,Long-Term,122.94,96.57,-26.37,-21.45
Tommy Tuberville,PYPL,2022-02-07,2022-03-10,31,Long-Term,121.41,98.55,-22.86,-18.83
Tommy Tuberville,PYPL,2022-02-09,2022-03-10,29,Long-Term,122.94,98.55,-24.39,-19.84
Gary Peters,O,2023-03-14,2023-04-12,29,Long-Term,63.22,61.92,-1.3,-2.06
Gary Peters,O,2023-03-14,2023-04-11,28,Long-Term,63.22,62.1,-1.12,-1.77
Tommy Tuberville,SWKS,2024-04-29,2024-05-14,15,Long-Term,107.86,94.42,-13.44,-12.46
Tommy Tuberville,SWKS,2024-04-05,2024-05-14,39,Long-Term,105.48,94.42,-11.06,-10.49
John Boozman,SWKS,2023-06-29,2023-07-12,13,Short-Term,109.88,112.85,2.97,2.7
Shelley Moore Capito,AVGO,2024-12-12,2025-01-05,24,Long-Term,180.66,236.41,55.75,30.86
Shelley Moore Capito,AVGO,2024-08-27,2024-09-04,8,Short-Term,161.39,154.12,-7.27,-4.5
Shelley Moore Capito,AVGO,2024-07-01,2024-08-10,40,Long-Term,164.08,148.26,-15.82,-9.64
Tommy Tuberville,AVGO,2023-04-03,2023-05-11,38,Long-Term,64.25,62.77,-1.48,-2.3
Tommy Tuberville,AVGO,2023-04-03,2023-05-11,38,Long-Term,64.25,62.77,-1.48,-2.3
Tommy Tuberville,AVGO,2023-04-03,2023-05-10,37,Long-Term,64.25,62.63,-1.62,-2.52
John Boozman,GOOGL,2024-07-26,2024-08-05,10,Short-Term,167.0,159.25,-7.75,-4.64
Markwayne Mullin,GOOGL,2023-10-03,2023-10-31,28,Long-Term,132.43,124.08,-8.35,-6.31
Markwayne Mullin,GOOGL,2023-09-13,2023-10-11,28,Long-Term,136.71,140.55,3.84,2.81
Markwayne Mullin,META,2024-01-02,2024-01-25,23,Long-Term,346.29,393.18,46.89,13.54
Tommy Tuberville,META,2023-10-17,2023-11-15,29,Long-Term,324.0,332.71,8.71,2.69
Markwayne Mullin,META,2023-10-03,2023-10-31,28,Long-Term,300.94,301.27,0.33,0.11
Markwayne Mullin,META,2023-09-13,2023-10-11,28,Long-Term,305.06,327.82,22.76,7.46
Dan Sullivan,META,2022-11-22,2022-12-21,29,Long-Term,111.44,119.76,8.32,7.47
Tommy Tuberville,AME,2022-03-30,2022-04-08,9,Short-Term,135.43,131.82,-3.61,-2.67
Tommy Tuberville,AME,2022-03-30,2022-04-07,8,Short-Term,135.43,132.3,-3.13,-2.31
Tommy Tuberville,VRTX,2022-10-06,2022-11-10,35,Long-Term,298.63,311.03,12.4,4.15
Tommy Tuberville,VRTX,2022-10-06,2022-11-09,34,Long-Term,298.63,309.34,10.71,3.59
Shelley Moore Capito,ZTS,2024-02-27,2024-03-14,16,Long-Term,199.0,173.88,-25.12,-12.62
Markwayne Mullin,ZTS,2024-01-04,2024-01-25,21,Long-Term,194.04,187.32,-6.72,-3.46
Markwayne Mullin,ZTS,2024-01-04,2024-01-25,21,Long-Term,194.04,187.32,-6.72,-3.46
Markwayne Mullin,ZTS,2023-10-03,2023-10-31,28,Long-Term,170.33,157.0,-13.33,-7.83
Markwayne Mullin,ZTS,2023-09-13,2023-10-11,28,Long-Term,182.0,176.95,-5.05,-2.77
Dan Sullivan,ZTS,2022-11-30,2023-07-26,238,Long-Term,154.14,192.0,37.86,24.56
Dan Sullivan,ZTS,2023-01-10,2023-02-13,34,Long-Term,154.36,163.14,8.78,5.69
Dan Sullivan,ZTS,2022-11-30,2022-12-21,21,Long-Term,154.14,144.92,-9.22,-5.98
John Fetterman,GM,2024-10-17,2024-11-12,26,Long-Term,49.38,57.41,8.03,16.26
Tommy Tuberville,REGN,2023-04-03,2023-05-11,38,Long-Term,826.19,745.57,-80.62,-9.76
Tommy Tuberville,REGN,2023-04-03,2023-05-11,38,Long-Term,826.19,745.57,-80.62,-9.76
Tommy Tuberville,REGN,2023-04-03,2023-05-10,37,Long-Term,826.19,749.59,-76.6,-9.27
Tommy Tuberville,ABBV,2024-04-03,2024-05-14,41,Long-Term,177.33,161.59,-15.74,-8.88
Tommy Tuberville,ABBV,2023-10-17,2023-11-15,29,Long-Term,149.18,137.6,-11.58,-7.76
Tommy Tuberville,ABBV,2022-03-30,2022-04-08,9,Short-Term,163.75,174.96,11.21,6.85
Tommy Tuberville,ABBV,2022-03-30,2022-04-07,8,Short-Term,163.75,173.28,9.53,5.82
